round,loss,accuracy,auc
0,0.69581139087677,0.47529551706192846,0.49504715623195417
1,0.5630005598068237,0.7414021262359676,0.7017031469443779
2,0.5543867349624634,0.7461303992268233,0.7147707693893162
3,0.5492557287216187,0.7469481822912795,0.7214654117726178
4,0.5488317608833313,0.7467400193294179,0.7222796508695085
5,0.5486931800842285,0.7470076574232399,0.7246020134221269
6,0.5459138751029968,0.7470076574232399,0.7264797419548665
7,0.5457063913345337,0.7473496394320125,0.7256073787657237
8,0.5443154573440552,0.747557802393874,0.7246819276210054
9,0.5437949299812317,0.7460709240948629,0.722850519452634
10,0.5439485311508179,0.7472158203851015,0.7234631661574653
11,0.5421461462974548,0.747409114563973,0.7251691241160134
12,0.5439985394477844,0.7469184447252992,0.7243240776736108
13,0.5464406609535217,0.7450747156345253,0.7224493808815883
14,0.5448986291885376,0.7465021188015761,0.7230320277632722
15,0.5439147353172302,0.746487250018586,0.7197314380434213
16,0.5429808497428894,0.747290164300052,0.721865455752467
17,0.543118417263031,0.7467994944613784,0.7201241595076673
18,0.5440999269485474,0.7451787971154561,0.7180505652670113
19,0.5441581606864929,0.7455505166902089,0.7170408017802643
20,0.5424073934555054,0.7463831685376552,0.7193168456638032
21,0.5438882112503052,0.7470522637722102,0.7185351979208947
22,0.5423908233642578,0.7453572225113374,0.7188886751544648
23,0.5430966019630432,0.744628652144822,0.7166763662026151
24,0.5432537198066711,0.744509701880901,0.7151866015898352
25,0.5446314811706543,0.7430228235818899,0.7130201880500668
26,0.5454224944114685,0.7418927960746413,0.7085876090721418
27,0.543536365032196,0.7455207791242286,0.7142148295156524
28,0.5442297458648682,0.7432161177607612,0.7129476918680371
29,0.5433961749076843,0.7442123262210988,0.7145838864494216
30,0.5444145798683167,0.7427551854880678,0.7090443293679679
31,0.5449286103248596,0.740792506133373,0.7053691199080816
32,0.5436774492263794,0.7444056203999703,0.7119925381407336
33,0.5439165830612183,0.7421158278194929,0.7094994583531027
34,0.5441948771476746,0.7431120362798305,0.706263982399489
35,0.5438655018806458,0.74305256114787,0.7088820055057179
36,0.5452969074249268,0.7418779272916511,0.704289216125055
37,0.5432002544403076,0.7417292394617501,0.705832374975511
38,0.5454388856887817,0.7387703516467177,0.6982174379496424
39,0.5452580451965332,0.7403315738606795,0.704078655657473
40,0.54464191198349,0.7403613114266597,0.7049145548888808
41,0.5454221367835999,0.7392164151364211,0.6970715959251307
42,0.545448899269104,0.7398111664560256,0.7027875624548761
43,0.5462797284126282,0.7384878447699056,0.7007009399230304
44,0.5454103350639343,0.7389487770425991,0.7015147902337863
45,0.5454146862030029,0.7374172923946175,0.6971552753594978
46,0.5477268695831299,0.7349490744182589,0.6958547800875532
47,0.5456094741821289,0.7378484871013308,0.6976600508647997
48,0.546133816242218,0.7359750204445766,0.6976434347783049
49,0.5443575978279114,0.7397219537580849,0.6986185708697269
50,0.5474806427955627,0.7358560701806557,0.6933722918966156
51,0.547694206237793,0.7357817262657051,0.6920900808749302
52,0.548276424407959,0.7338785220429708,0.6886783067969617
53,0.5479081869125366,0.7351126310311501,0.6909352493012428
54,0.5470613837242126,0.7360196267935469,0.6900664111817352
55,0.5489820837974548,0.7338339156940005,0.6859750389400959
56,0.5486632585525513,0.733120214110475,0.6869027758986448
57,0.5464418530464172,0.7375808490075088,0.695096328975529
58,0.5486017465591431,0.7342651104007137,0.6878919721467827
59,0.5489590167999268,0.7329269199316036,0.6854152112050841
60,0.5494966506958008,0.7324065125269497,0.6846504050220247
61,0.549429714679718,0.7322875622630288,0.684056049348606
62,0.5514529347419739,0.7307412088320571,0.6798962343594502
63,0.5504366159439087,0.7320199241692068,0.685687132070433
64,0.5499026775360107,0.7331350828934652,0.6853614886465588
65,0.5492429137229919,0.7328228384506729,0.6866303809176459
66,0.5514385104179382,0.7297152628057394,0.6850058956930923
67,0.5506426095962524,0.73245111887592,0.6849301598149711
