round,loss,accuracy,auc
0,0.6930965781211853,0.6886666666666666,0.4831435162449671
1,0.6720482707023621,0.7305333333333334,0.6108579088385031
2,0.6521841287612915,0.7306074074074074,0.6341396834080095
3,0.6363248229026794,0.7307851851851852,0.637974926801471
4,0.6231916546821594,0.7310962962962962,0.6402209516107141
5,0.6151973009109497,0.7310518518518518,0.6410171954366597
6,0.6128743290901184,0.731125925925926,0.6426388115702738
7,0.6125133037567139,0.7312148148148148,0.6451183215119379
8,0.6124821305274963,0.7313925925925926,0.6556961356272315
9,0.6099415421485901,0.731437037037037,0.666383454296989
10,0.6071344614028931,0.7324296296296297,0.672596321596591
11,0.6052587628364563,0.7333777777777778,0.6771099001613444
12,0.603757917881012,0.7356444444444444,0.6822513557959855
13,0.6016073226928711,0.7375407407407407,0.6873174034474079
14,0.6005615592002869,0.7382814814814814,0.690896556845289
15,0.5992090106010437,0.7388888888888889,0.6933124274473561
16,0.5975990891456604,0.7391407407407408,0.6942657445311842
17,0.5968502759933472,0.7397037037037038,0.6961500295543818
18,0.5966354608535767,0.7402518518518518,0.6970060680060055
19,0.595495343208313,0.7398962962962963,0.6985863263856104
20,0.5957189798355103,0.7400592592592593,0.6989416424955543
21,0.5938443541526794,0.7400888888888889,0.6989133721789917
22,0.5937844514846802,0.7401037037037037,0.7002627992056202
23,0.5953994989395142,0.740562962962963,0.7009212994274545
24,0.5939662456512451,0.7406222222222222,0.700776463816925
25,0.592568039894104,0.7404,0.7012665514990039
26,0.5941930413246155,0.7411703703703704,0.7013915108430804
27,0.5929922461509705,0.7406518518518519,0.7020059598894788
28,0.5939624309539795,0.7412444444444445,0.7028674315259913
29,0.5924724340438843,0.7403407407407407,0.7025716023976114
30,0.5929512977600098,0.7413037037037037,0.7022525408344128
31,0.5923539400100708,0.7410962962962963,0.7020721016989835
32,0.5922031998634338,0.7411851851851852,0.7031662287779832
33,0.5930335521697998,0.7416592592592592,0.7033884176205398
34,0.5912970900535583,0.7413925925925926,0.7037656858967846
35,0.5912415981292725,0.7414074074074074,0.703891600556794
36,0.5912601351737976,0.7415703703703703,0.7041046829102402
37,0.5915707945823669,0.7419555555555556,0.7046405889068128
38,0.5915772914886475,0.7418666666666667,0.7043903670412479
39,0.5909081697463989,0.7414962962962963,0.705483771072829
