round,loss,accuracy,auc
0,0.667159378528595,0.6549943097259914,0.5137169792807822
1,0.5487055778503418,0.7376783682044997,0.661240455961155
2,0.5359030961990356,0.7448130963844874,0.6876400008657002
3,0.5319387912750244,0.7449298199538942,0.6960814079099825
4,0.5293070673942566,0.7459949225247308,0.7016467676729822
5,0.5279093384742737,0.7464618168023578,0.7042703234079906
6,0.5270110368728638,0.7463159123405994,0.7059360765674646
7,0.5265847444534302,0.746447226356182,0.7067791970815687
8,0.5254908800125122,0.7468995301876331,0.708778498948371
9,0.525169312953949,0.7465785403717645,0.7093660534071646
10,0.5244276523590088,0.7465055881408853,0.7108778533332544
11,0.5238974690437317,0.7475269193731945,0.7118419763053853
12,0.523653507232666,0.7472059295573259,0.7123011091345852
13,0.5230047106742859,0.7470746155417433,0.7135270675789354
14,0.5226041674613953,0.7476874142811287,0.7143774857810953
15,0.5223479866981506,0.7475998716040737,0.7147843855815834
16,0.5215762257575989,0.7472934722343809,0.7162703523644531
17,0.5214608311653137,0.7472642913420292,0.7163146835415768
18,0.5214330554008484,0.7476144620502495,0.7165134989001083
19,0.5209705829620361,0.7479062709737664,0.7172841588385757
20,0.5205911993980408,0.7476874142811287,0.7180492169771077
21,0.5203198790550232,0.7481105372202282,0.7185982931607917
22,0.5203673243522644,0.74831480346669,0.7184564096396312
23,0.5199519991874695,0.7485044792669759,0.7192532861536499
24,0.5195884704589844,0.7480229945431731,0.7198830479974725
25,0.5195160508155823,0.7483731652513934,0.7198977567220386
26,0.5191490650177002,0.747847909189063,0.7206159742896723
27,0.5191858410835266,0.7483877556975692,0.7204854445957597
28,0.5192141532897949,0.7479938136508214,0.7204562858414253
29,0.5191671848297119,0.748227260789635,0.7205743732375245
30,0.5188745856285095,0.7488546499751962,0.7209270734949654
31,0.5184590220451355,0.7485774314978552,0.7217076788112247
32,0.518652617931366,0.7484752983746243,0.7213953560934275
33,0.5184207558631897,0.7494820391607575,0.7215035431257142
34,0.5184388756752014,0.7490005544369547,0.7216416438455824
35,0.518295407295227,0.7485482506055036,0.7217058457118171
36,0.5183719396591187,0.7492777729142958,0.7216616040203154
37,0.5183036923408508,0.7488984213137238,0.7220766849759997
38,0.5180018544197083,0.7494528582684058,0.7223254268035451
39,0.5179581046104431,0.7494528582684058,0.721982076437757
40,0.5182551145553589,0.748971373544603,0.721902279125793
41,0.517710268497467,0.7483002130205142,0.7228047508430839
42,0.5178214311599731,0.7490880971140097,0.7225194771882911
43,0.5177677273750305,0.7494090869298783,0.7224636424988791
44,0.5174661874771118,0.7491610493448889,0.7231423464698736
45,0.5174614787101746,0.7487962881904928,0.7233544344443232
46,0.5173082947731018,0.7488984213137238,0.7232394600631944
47,0.5177223086357117,0.7496425340686919,0.7228376544351135
48,0.5173875093460083,0.7486649741749103,0.7229945888955521
49,0.517960786819458,0.7479646327584698,0.7224221900470973
50,0.5177825689315796,0.7491172780063614,0.7224336659001935
51,0.5170568823814392,0.7488254690828445,0.7239248054943503
52,0.5172668099403381,0.7487962881904928,0.7234064662659699
53,0.5170972347259521,0.7488108786366687,0.723449402552065
54,0.5170688629150391,0.7491902302372406,0.7239045361874688
55,0.5169186592102051,0.7489859639907789,0.7237821578202119
56,0.5170729160308838,0.7483439843590417,0.7235900500869683
57,0.5167043805122375,0.7491464588987131,0.7242360424532677
58,0.516717791557312,0.7483002130205142,0.7243006933746235
59,0.5171443223953247,0.7482710321281625,0.7239128578079748
60,0.5169581174850464,0.7484607079284484,0.7240654617066472
61,0.5171194672584534,0.7489276022060755,0.7236303706812164
62,0.5170448422431946,0.7479792232046456,0.7239023277907859
63,0.5174013376235962,0.7481834894511075,0.7235137926092745
64,0.5176153779029846,0.7475269193731945,0.7232314313047239
65,0.5174572467803955,0.747570690711722,0.7230570645027885
66,0.5175946950912476,0.7477165951734804,0.723296010095245
67,0.5170230865478516,0.7487233359596136,0.7239228606734995
68,0.5173046588897705,0.7487525168519653,0.723106821762626
69,0.5164052248001099,0.7489859639907789,0.7245765780894919
70,0.5166801810264587,0.749350725145175,0.7239726369151358
71,0.5170822143554688,0.7491318684525373,0.7237067171021949
72,0.5170983076095581,0.7483002130205142,0.7238184737972926
73,0.5171948671340942,0.7486503837287344,0.7238221551815466
74,0.5169868469238281,0.7481688990049316,0.7237741670253386
75,0.5165532827377319,0.7487671072981412,0.7243103014187374
76,0.5165495276451111,0.74831480346669,0.7246680150403572
77,0.5165196061134338,0.7489276022060755,0.7242957879355283
78,0.5167256593704224,0.7484461174822726,0.7243655932287095
79,0.5168314576148987,0.7497008958533952,0.724414089554783
80,0.5168324708938599,0.7491756397910648,0.724284654297144
81,0.5168371200561523,0.748869240421372,0.7240331839716343
82,0.5165623426437378,0.7492048206834165,0.724467403461341
83,0.5166163444519043,0.7486795646210861,0.7243227990349355
84,0.5162787437438965,0.7490005544369547,0.7247798943036399
85,0.5171810388565063,0.7480959467740523,0.7236402748413885
86,0.516595721244812,0.7485336601593277,0.724627350604386
87,0.5165480375289917,0.7488400595290204,0.724739383891406
88,0.5163381099700928,0.7494236773760542,0.7246704609806911
89,0.5162424445152283,0.7492923633604716,0.7250046903210834
90,0.5165228247642517,0.748883830867548,0.7246638607381495
91,0.5169248580932617,0.7497300767457469,0.7238038155100769
92,0.5168015360832214,0.7492923633604716,0.724158150371546
93,0.5162672996520996,0.7483439843590417,0.7252882268701358
94,0.5169479846954346,0.7489859639907789,0.7244591398709049
95,0.5163547396659851,0.7493069538066474,0.7245377575996703
96,0.5167442560195923,0.7487525168519653,0.7241222644677878
97,0.5163090825080872,0.7491172780063614,0.7247617601779321
98,0.5164096355438232,0.7493215442528233,0.7247162434519018
99,0.5169007182121277,0.7497008958533952,0.723880543736376

