round,loss,accuracy,auc
0,0.7314860820770264,0.5034410688960215,0.4814614267789048
1,0.537713348865509,0.7395237739792491,0.6875704660447237
2,0.527595043182373,0.7437187430021647,0.7068638871050849
3,0.5242785215377808,0.7459132641636187,0.7123153629808812
4,0.5220031142234802,0.7473613495558707,0.7162325808874079
5,0.5223883986473083,0.7466149137866687,0.716897584292312
6,0.5197315812110901,0.7497648727327013,0.7197519973290741
7,0.5213034749031067,0.7493170112711801,0.7171476874861017
8,0.5252323150634766,0.7477494961558558,0.7132376574753325
