round,loss,accuracy,auc
0,0.6802211403846741,0.5802118631132277,0.5214718083072933
1,0.6131725311279297,0.6733827884116372,0.6393474918555947
2,0.5893239378929138,0.6947827945172025,0.6836490280732663
3,0.5754510760307312,0.707268675397625,0.7040073486636527
4,0.5669918060302734,0.7123362945324664,0.715422021474636
5,0.5602381229400635,0.7199987788869555,0.7243206444052922
6,0.5549695491790771,0.7253411484568184,0.7315706257064025
7,0.5514132380485535,0.7273865128064231,0.7361277300378966
8,0.5489512085914612,0.7302561284610923,0.7397701387042086
9,0.5458306074142456,0.733095216289648,0.743899237916362
10,0.543307900428772,0.7342247458558476,0.7471602079316535
11,0.5401104688644409,0.7359648319443173,0.751193728807925
12,0.5388265252113342,0.7368196110754953,0.7529985414866034
13,0.5371564626693726,0.7374912232499924,0.7557109089322519
14,0.5348304510116577,0.7415514241230882,0.757975656123263
15,0.5322678685188293,0.7421619806453582,0.7611042213782329
16,0.5300139784812927,0.7430778154287633,0.76405136585001
17,0.5287451148033142,0.7445431510822115,0.766304023170002
18,0.5271234512329102,0.7445126232560979,0.7676740367994148
19,0.5256481766700745,0.7464358763012486,0.7693944925536866
20,0.5234434604644775,0.7478096284763562,0.7719241261385547
21,0.5225469470024109,0.7491528528253503,0.7732344134366066
22,0.5211853384971619,0.7494581310864853,0.7750338969317199
23,0.5199010372161865,0.7501297432609824,0.7756248981949339
24,0.5180907249450684,0.751808773697225,0.7775031518017419
25,0.5170968174934387,0.7541594163079647,0.7790292886942358
26,0.5157040953636169,0.7544036389168727,0.7798781518017419
27,0.5145580172538757,0.7535488597856946,0.781576958397048
28,0.5134938359260559,0.7557773910919804,0.7824128195432485
29,0.5128228664398193,0.7565405867448179,0.7833170147430357
30,0.511293351650238,0.7573037823976555,0.7842089787913038
31,0.5101121664047241,0.7566321702231584,0.7851355503291004
32,0.5097331404685974,0.7574869493543365,0.786163872914035
33,0.5091845989227295,0.7569374484842935,0.7866911130410212
34,0.5078430771827698,0.757944866746039,0.7874540900704741
35,0.5070086717605591,0.7590438684861252,0.7883577097599894
36,0.5055462718009949,0.7595933693561682,0.7898605395252976
37,0.5049439668655396,0.7582196171810606,0.7900351227478226
38,0.5048057436943054,0.7585859510944226,0.7900956655973672
39,0.5042723417282104,0.7589522850077846,0.7904202533907321
40,0.5023880004882812,0.7598070641389627,0.7922223713516388
41,0.5029442310333252,0.7586470067466495,0.7916735340070475
42,0.501228392124176,0.7609365937051622,0.7936337095272921
43,0.5000726580619812,0.7623408737063834,0.79444487567316
44,0.4989513158798218,0.7614555667490918,0.795434267169736
45,0.49878960847854614,0.7613945110968648,0.7957698332890101
46,0.4989793598651886,0.7617913728363404,0.7960824101622233
47,0.49752435088157654,0.7635619867509235,0.7970008850807793
48,0.4972175657749176,0.7638672650120585,0.7970292512964563
49,0.4977053105831146,0.7621271789235888,0.7963304156139884
50,0.4962988793849945,0.7636840980553775,0.7975766342829599
51,0.49668946862220764,0.7615166224013188,0.7979836405491656
52,0.4957985579967499,0.763714625881491,0.7982147588258759
53,0.49487540125846863,0.7620661232713618,0.7986959352769099
54,0.494515985250473,0.7620355954452483,0.799069476763513
55,0.4942827522754669,0.7621882345758159,0.7992179812678678
56,0.49409446120262146,0.763409347620356,0.7991959041120936
57,0.4933934807777405,0.7649052110999176,0.799673168339871
58,0.4933308959007263,0.764325182403761,0.7996941838142411
59,0.4924117624759674,0.7653020728393931,0.8005959751678744
60,0.49302950501441956,0.7633482919681289,0.7998018437105245
61,0.49229905009269714,0.763653570229264,0.8007542903563593
62,0.491729736328125,0.7654241841438472,0.8012465614819494
63,0.4908829629421234,0.7644472937082151,0.8019560222890765
64,0.4906560182571411,0.7650883780565986,0.8018120990126987
65,0.4904288351535797,0.7645388771865556,0.802523637474237
66,0.4911239743232727,0.764264126751534,0.8019990401236619
67,0.4900303781032562,0.7667674084928412,0.8027525201948009
68,0.4897100031375885,0.7647525719693501,0.8030221727278771
69,0.49050575494766235,0.7638062093598315,0.801628571487933
70,0.48903149366378784,0.7659431571877766,0.8029166507379828
71,0.48940518498420715,0.7662484354489116,0.8028792862010505
72,0.48925843834877014,0.7650578502304851,0.802337566900472
73,0.4882757365703583,0.7663705467533657,0.8033732152948607
74,0.489572674036026,0.7646609884910096,0.8027966308756066
75,0.4883593022823334,0.7661263241444577,0.8034692403264411
76,0.488909512758255,0.7658821015355497,0.8025953996576025
77,0.48746728897094727,0.7673169093628842,0.8040979572501827
78,0.4886705279350281,0.7654547119699606,0.802622292816302
79,0.4886373281478882,0.7657599902310956,0.803356722874144
80,0.4875545799732208,0.7660347406661172,0.8038504670567117
81,0.4867742359638214,0.7664010745794791,0.8042866768333222
82,0.4870247542858124,0.7675306041456788,0.8046142689149658
83,0.48675188422203064,0.7671032145800898,0.804502248022073
84,0.4860006272792816,0.7665537137100467,0.8056166208197593
85,0.4871615469455719,0.7659431571877766,0.8048714285120669
86,0.4864325225353241,0.7656378789266416,0.8046568878399043
87,0.4858523905277252,0.7670116311017492,0.8053472113722493
88,0.48551714420318604,0.7670726867539762,0.805586546772156
89,0.4854346215724945,0.7679579937112678,0.8058149287780068
90,0.48656779527664185,0.7677137711023598,0.8048368210225385
91,0.4858781397342682,0.7657599902310956,0.8051812711920749
92,0.4853176772594452,0.7662789632750252,0.8059315205106043
93,0.48561835289001465,0.7671947980584303,0.8057105058672961
94,0.48628225922584534,0.7668284641450682,0.805092299797221
95,0.48547986149787903,0.7683548554507433,0.8056226148527359
96,0.4850371479988098,0.7669505754495223,0.8057339999833788
97,0.48511773347854614,0.7673474371889978,0.8059063289508677
98,0.48454105854034424,0.7680801050157219,0.8065319003058308
99,0.4854547679424286,0.7670421589278628,0.8057266513197261
100,0.48532840609550476,0.7672253258845437,0.805358596918423
