round,loss,accuracy,auc
0,0.6798838973045349,0.5727435152984718,0.5168060062739657
1,0.5526180267333984,0.7377564368439524,0.6466134226557672
2,0.5397444367408752,0.7428612449350732,0.6764283063413761
3,0.5341565608978271,0.7449191206968063,0.688593867357278
4,0.5312331914901733,0.7460517499920237,0.6943739772687079
5,0.5292569994926453,0.746099607567878,0.6981841909798872
6,0.5279754400253296,0.7463388954471493,0.7006612292644969
7,0.5272631049156189,0.7470567590849632,0.7020922624558659
8,0.5263143181800842,0.7468653287815461,0.7040540411734844
9,0.5255838632583618,0.7468174712056919,0.7051598640189998
10,0.5246272087097168,0.7469131863574003,0.7069891857056364
11,0.5241559743881226,0.7473439045400887,0.7079085691228516
12,0.5237115621566772,0.7474077146412277,0.7086858227987025
13,0.523166298866272,0.7476150974699295,0.7099301278823728
14,0.522580623626709,0.7481893883801806,0.7108843257749611
15,0.5225308537483215,0.7481734358548958,0.7112837969455119
16,0.521989107131958,0.7480777207031873,0.7119297392054711
17,0.521673321723938,0.7484286762594519,0.7124655171158275
18,0.5215244293212891,0.7479979580767635,0.7130134410168173
19,0.5214476585388184,0.7484446287847366,0.7128151150192348
20,0.5209043025970459,0.7483648661583129,0.7137921810014626
21,0.5209195613861084,0.7481893883801806,0.7139641624032274
22,0.5200809240341187,0.7484924863605908,0.7153175811475188
23,0.5201241970062256,0.748875346967425,0.715333684776661
24,0.5199520587921143,0.7481574833296111,0.7155895145400791
25,0.5200881361961365,0.7486201065628689,0.7155782280858527
26,0.5197447538375854,0.7482212934307501,0.7159822258013844
27,0.5196284651756287,0.7482212934307501,0.7161682218077261
28,0.5196573138237,0.7487796318157164,0.716257613594043
29,0.5195138454437256,0.7483808186835976,0.7164189164587829
30,0.5189688801765442,0.7488912994927097,0.7174680911737965
31,0.5189487338066101,0.7486041540375842,0.7173405722509919
32,0.5188592672348022,0.7487158217145774,0.7176239052288942
33,0.518941342830658,0.7489710621191334,0.7173474992561955
34,0.5185121297836304,0.7487477267651469,0.718075645575559
35,0.5188310146331787,0.7483010560571739,0.7175419352338668
36,0.5188784003257751,0.7481893883801806,0.7175965066932009
37,0.5182620286941528,0.7492741600995437,0.7185872862472095
38,0.5186050534248352,0.7484605813100214,0.7179122868453739
39,0.5186004042625427,0.7485243914111603,0.7180671106781209
40,0.5183537006378174,0.748875346967425,0.7185590210231422
41,0.518531858921051,0.7489710621191334,0.7184617945819818
42,0.5181715488433838,0.749449637877676,0.7187156731587456
43,0.5178778171539307,0.7488434419168555,0.7193050108501843
44,0.5178182125091553,0.7486839166640079,0.7192493620445367
45,0.5177716612815857,0.7483170085824586,0.7192595711524498
46,0.5177503824234009,0.7485084388858756,0.7195883893406043
47,0.5179532170295715,0.7483170085824586,0.7190597510439272
48,0.5177626609802246,0.7486201065628689,0.7192498145689991
49,0.5178797245025635,0.7489232045432792,0.7191181266995674
50,0.5174863934516907,0.7487158217145774,0.7197015074526099
51,0.5174722075462341,0.7486201065628689,0.7197376996569136
52,0.5176300406455994,0.7487158217145774,0.7194322488957363
53,0.5175808072090149,0.7484127237341671,0.7198349176457493
54,0.5176752209663391,0.7486201065628689,0.7193225227666616
55,0.5173474550247192,0.7490189196949877,0.7200676211985344
56,0.5177236199378967,0.7487796318157164,0.7192088045396006
57,0.5173351764678955,0.7488434419168555,0.720095215438054
58,0.5175034999847412,0.748811536866286,0.7197346984314565
59,0.5171335935592651,0.7483648661583129,0.7202704873948531
60,0.5177069902420044,0.7484605813100214,0.7193630822221344
61,0.517759382724762,0.7492901126248285,0.7192250284518253
62,0.518139660358429,0.7488274893915707,0.7188117786916114
63,0.5181430578231812,0.7486041540375842,0.7187938604133681
64,0.5173715949058533,0.748811536866286,0.7200349464616748
65,0.5174487233161926,0.7490667772708419,0.7200587104977353
66,0.5177088379859924,0.7487317742398621,0.7194399242567676
67,0.5174763202667236,0.7486998691892927,0.7198746026107021
68,0.5179305076599121,0.748811536866286,0.7191597771551087
69,0.5174711346626282,0.7484446287847366,0.7198760986721788
70,0.5175243616104126,0.7483489136330281,0.7199065081860114
71,0.5175189971923828,0.7489870146444182,0.719770996614909
72,0.5169405937194824,0.7486839166640079,0.7206725014147892
73,0.5169560313224792,0.7485403439364451,0.7204749751371617
74,0.5177000761032104,0.7479501005009093,0.719535692346823
75,0.5175126194953918,0.7484286762594519,0.7199056961126589
76,0.5175110697746277,0.7478703378744855,0.720156099483602
77,0.517499566078186,0.7482851035318892,0.7199108032673307
78,0.5173276662826538,0.7486360590881537,0.7204030913662494
79,0.5178524851799011,0.7476789075710685,0.7194710028046114
80,0.5178046822547913,0.7482053409054653,0.7195342092889228
81,0.5173779129981995,0.748875346967425,0.7203139024357259
82,0.5177878737449646,0.7482691510066043,0.7197303597881561
83,0.5177382826805115,0.7483170085824586,0.7196741115176319
84,0.5172922015190125,0.7485403439364451,0.7203272441052186
85,0.517073392868042,0.7482053409054653,0.7205598085197352
86,0.5174201726913452,0.7476150974699295,0.7202478949810356
87,0.517666757106781,0.7484286762594519,0.7195966563643664
88,0.5174751281738281,0.7476948600963532,0.719936070516835
89,0.5180534720420837,0.7478862903997703,0.7190315241804105
90,0.5171688795089722,0.7479979580767635,0.7205017930631641
91,0.517355740070343,0.747902242925055,0.7199746618810038
92,0.5177644491195679,0.7478543853492008,0.7194143293171353
93,0.5174738168716431,0.7481734358548958,0.719994331741002
94,0.517539381980896,0.7477427176722075,0.7199891998795349
95,0.5175467133522034,0.7484924863605908,0.7198633701213182
96,0.517719030380249,0.7479341479756245,0.7194993811597943
97,0.5174288153648376,0.7485403439364451,0.7199634456460905
98,0.5171637535095215,0.7482212934307501,0.7207636948466307
99,0.5169887542724609,0.7483489136330281,0.7209237636719603
100,0.5176771879196167,0.747966053026194,0.719898227508494
