round,loss,accuracy,auc
0,0.6969314813613892,0.48167957703184555,0.48943001958335985
1,0.6143032312393188,0.7151727529816796,0.7222272717357319
2,0.58319091796875,0.7389032337390876,0.7616588280543699
3,0.5730863213539124,0.748616746587975,0.7764145185362928
4,0.5645902156829834,0.7539345874830936,0.78441903259939
5,0.5589795112609863,0.7563322267306037,0.7905164632318664
6,0.5530533790588379,0.7590987335546538,0.7935646231016186
7,0.5507952570915222,0.7591909504487889,0.7963949301268518
8,0.5475165843963623,0.7607278986843723,0.7982078190908775
9,0.5457578301429749,0.761773023484569,0.8006585289380213
10,0.5420495867729187,0.7622955858846674,0.8014552222439015
11,0.5422390699386597,0.7632792327554409,0.802670257224238
12,0.5412406325340271,0.7637403172261158,0.8043488501685461
13,0.5390694737434387,0.7643243575556375,0.8037450146153119
14,0.5368739366531372,0.7638940120496742,0.8056294088985624
15,0.5366750955581665,0.7646010082380426,0.8060118043487219
16,0.5350565314292908,0.7639862289438092,0.8063360146755021
17,0.534317135810852,0.7640169679085208,0.8075587606837606
18,0.5345726609230042,0.7659227837206443,0.8080329352498863
19,0.5320212244987488,0.7642014016967908,0.8078331344161644
20,0.5329638123512268,0.7638325341202509,0.8086661295162512
21,0.5296185612678528,0.7648469199557358,0.8091548214337172
22,0.529689610004425,0.7653080044264109,0.808784715237062
23,0.5298134088516235,0.7641399237673675,0.8102919276928517
24,0.5290723443031311,0.7649083978851592,0.8097321701846291
25,0.5278899669647217,0.7643550965203492,0.8104926689984647
26,0.5264168977737427,0.7662916512971844,0.8109080104203108
27,0.5270625352859497,0.7642936185909258,0.8109578112472998
28,0.5255521535873413,0.765400221320546,0.8107860057580613
29,0.5247286558151245,0.7649698758145825,0.811185939851811
30,0.5258288383483887,0.7659842616500676,0.8112235397917823
31,0.5251867175102234,0.7655231771793926,0.8121815945097919
32,0.524570107460022,0.7660150006147793,0.8124662776656112
33,0.5229305624961853,0.7646624861674659,0.8123042850642931
34,0.5232210159301758,0.7655846551088159,0.8125026404747727
35,0.5235165953636169,0.7638632730849625,0.8114837096634762
36,0.523091197013855,0.7642628796262142,0.8110317192933697
37,0.5224853157997131,0.7632792327554409,0.81107810117892
38,0.5225043296813965,0.7654924382146809,0.8123031341960056
39,0.5228473544120789,0.7632484937907291,0.8125418268035718
40,0.5219547748565674,0.7645702692733308,0.8118337314201467
41,0.5213109850883484,0.7648469199557358,0.8125092027383713
42,0.5216362476348877,0.7651543096028526,0.8117951573448607
43,0.5215247273445129,0.7639247510143858,0.812472604285246
44,0.5204070806503296,0.7635558834378459,0.8123114153981617
45,0.5204125642776489,0.7652772654616993,0.8121118502084035
46,0.5199061036109924,0.7636788392966924,0.8120283754381967
47,0.5191322565078735,0.7643550965203492,0.8112342279287111
48,0.52020663022995,0.7638017951555391,0.811467509140966
49,0.5198014378547668,0.7627566703553424,0.8102691375552113
50,0.5196759104728699,0.7635251444731341,0.8113072565178447
51,0.5178824663162231,0.7629411041436125,0.8114649107454726
52,0.5179792642593384,0.7646010082380426,0.8104398405673339
53,0.5188314318656921,0.7640169679085208,0.8124545396506652
54,0.5182312726974487,0.7635251444731341,0.8118217093700658
55,0.5170419812202454,0.7653387433911226,0.8134378398322593
56,0.5185096263885498,0.7644165744497725,0.8130870396089226
57,0.5178797245025635,0.7636788392966924,0.812352476358851
58,0.5173570513725281,0.7628488872494774,0.8117000266143026
59,0.5162525773048401,0.7639247510143858,0.8128076921057117
60,0.5171628594398499,0.7637403172261158,0.8117860198293723
61,0.5172036290168762,0.7631870158613058,0.8124776033036207
62,0.5175500512123108,0.7633099717201525,0.8119976765000219
63,0.5173921585083008,0.7635251444731341,0.8110193374654512
64,0.5157343149185181,0.7643858354850609,0.8126337826525107
65,0.517221987247467,0.7626029755317841,0.8121458081867561
66,0.5161764025688171,0.7631562768965942,0.8119421023959201
67,0.5161330103874207,0.7624800196729374,0.8117105001469073
68,0.5158793330192566,0.7611582441903356,0.8107599755159189
69,0.5156278014183044,0.7644780523791959,0.8111579613390395
70,0.5162032842636108,0.7620189352022624,0.811079001675496
71,0.5170760750770569,0.760850854543219,0.8102681507961131
72,0.515410304069519,0.761680806590434,0.810447597882463
73,0.5176123976707458,0.7607278986843723,0.8093517040694231
74,0.516176164150238,0.7596827738841756,0.81002693763972
75,0.5161863565444946,0.761035288331489,0.8101593379879076
76,0.516826331615448,0.7608201155785073,0.8089649449980058
77,0.5167105197906494,0.760020902496004,0.8088225108456818
78,0.515484631061554,0.7598364687077339,0.8092155081702475
79,0.5162389874458313,0.7603590311078323,0.806711900461162
80,0.5170072913169861,0.7589450387310955,0.8075656532697014
81,0.5159911513328552,0.7596520349194639,0.8072936759522507
82,0.5140503644943237,0.7598057297430223,0.8100877464061602
83,0.5152228474617004,0.7624492807082257,0.8100551013013202
84,0.5142420530319214,0.761496372802164,0.8093586597742828
85,0.5147404074668884,0.7610660272962007,0.8091061630591596
86,0.5151911377906799,0.7617422845198574,0.809131120279681
87,0.5141863822937012,0.760758637649084,0.8085024158724119
88,0.5155664086341858,0.760020902496004,0.8072296039377049
89,0.5149823427200317,0.7625414976023608,0.8094889708862555
90,0.5150811672210693,0.7594061232017706,0.8065070627377143
91,0.5153480768203735,0.7599901635312922,0.8078674353406429
92,0.5151051878929138,0.7601131193901389,0.8081144722692837
93,0.5145039558410645,0.7590065166605189,0.8072124440076278
94,0.5146097540855408,0.7590679945899422,0.8073338869114993
95,0.5145233273506165,0.7589142997663839,0.8067323257433086
96,0.5147567391395569,0.7598672076724456,0.8069804293816782
97,0.5159097909927368,0.7586069101192672,0.8052090158592426
98,0.5137980580329895,0.7589757776958072,0.8072178406751913
99,0.5149341821670532,0.7581458256485921,0.8068686857516734
100,0.5134004354476929,0.7586376490839789,0.8070922613781698
