epoch,loss,accuracy,auc
0,0.59437054,0.7412313088425327,0.6579681519281915
1,0.5453504,0.7456156544212664,0.6901258883723116
2,0.5360708,0.7486770044920312,0.6998802722944253
3,0.5317522,0.7497692449695403,0.7048049391950274
4,0.5298913,0.7503230570426436,0.7073484503282731
5,0.5293161,0.7510614731401144,0.709707475397308
6,0.52812624,0.7509999384653252,0.7104248562702031
7,0.52722865,0.7515383668697311,0.7125989943057982
8,0.52643985,0.7518921912497692,0.7135858405163293
9,0.52603126,0.7517691219001907,0.7142568808025975
10,0.52498233,0.7523537013106886,0.7158464081395827
11,0.5241585,0.7521998646237155,0.7159946838792722
12,0.52334595,0.7525383053350563,0.7172223486744567
13,0.52387863,0.7524921543289643,0.7171093533519273
14,0.52306676,0.752276782967202,0.7188203713184687
15,0.5228392,0.7532613377638299,0.7187530956286993
16,0.52183044,0.752969048058581,0.7194789980117776
17,0.5219338,0.7525536890037536,0.7200509513671369
18,0.52136797,0.752522921666359,0.7202798487344193
19,0.5212499,0.7526921420220294,0.7205105145100648
20,0.52051234,0.753215186757738,0.721364067701936
21,0.5201801,0.7521998646237155,0.7216346372283915
22,0.5199694,0.7531536520829487,0.7208119342921364
23,0.5198581,0.7528459787090025,0.721979218483916
24,0.5196897,0.7527382930281213,0.7224921428312358
25,0.51897895,0.7528305950403053,0.7227460282596287
26,0.51927316,0.7527844440342133,0.722965377318626
27,0.5190342,0.7533074887699218,0.7232548959927256
28,0.51895785,0.7536920804873546,0.7233586799917475
29,0.5186898,0.7527844440342133,0.7231520492135738
30,0.51783174,0.7531536520829487,0.7238329065428233
31,0.5177379,0.7539689865239062,0.723993822563243
32,0.51821387,0.7535843948064734,0.7247496014195236
33,0.5174055,0.7530921174081595,0.7243416463070174
34,0.51779795,0.7537997661682359,0.7249817833219812
35,0.51699233,0.7540612885360901,0.724457060241812
36,0.5169456,0.7541228232108793,0.7251018333873159
37,0.51655406,0.7533844071134084,0.7251299030614842
38,0.5167848,0.7545381822657067,0.7251901569147376
39,0.51627004,0.7542305088917605,0.7256899845589065
40,0.5163347,0.7543997292474309,0.7253227753544665
41,0.5164723,0.7548304719709557,0.7255241039544291
42,0.51619184,0.7538459171743277,0.7254762112878226
43,0.5161699,0.7540766722047874,0.7262315733311051
44,0.5154916,0.7541997415543659,0.7258843735880764
45,0.51601744,0.7540305211986955,0.7253404911256369
46,0.515484,0.7545843332717986,0.7260215032363213
47,0.51559854,0.754599716940496,0.7265329364412341
48,0.5150812,0.7540766722047874,0.7261961881013198
49,0.5159741,0.7550304596640207,0.7258834906026463
50,0.5156353,0.754553565934404,0.7262298378290312
51,0.5143276,0.7539689865239062,0.7260316298421727
52,0.515018,0.7547381699587717,0.7255905533307112
53,0.5147578,0.7543843455787336,0.7258833717743791
54,0.51469976,0.7549381576518368,0.7264471576668534
55,0.51426256,0.7547843209648637,0.7261140716750656
56,0.5140853,0.753953602855209,0.7265740668653848
57,0.5141899,0.7543997292474309,0.7264406068777752
58,0.5129728,0.7547227862900745,0.7257314946241361
59,0.513374,0.7538459171743277,0.7260476497206914
60,0.5134684,0.753907451849117,0.7258208693246888
61,0.51336783,0.7537382314934465,0.7258791055349061
62,0.5138492,0.7544151129161283,0.7259888918848507
63,0.5138254,0.7538766845117224,0.7266883376113135
64,0.51351804,0.7547227862900745,0.7265968532519896
65,0.51356333,0.754353578241339,0.726131184164265
66,0.5132116,0.754599716940496,0.7260168987933191
67,0.51330066,0.7539997538613008,0.7257606684871238
68,0.51271534,0.7534459417881977,0.7262796061541293
69,0.51282424,0.7541535905482739,0.726626162396389
70,0.5126648,0.7543997292474309,0.7259991982565419
71,0.5130695,0.7535382438003815,0.7257183729365806
72,0.512421,0.7541689742169713,0.7268855699876311
73,0.51215637,0.7547689372961663,0.7265564388443195
74,0.5125001,0.7549535413205342,0.7260404932121394
75,0.51247615,0.754353578241339,0.7268347894894485
76,0.51165444,0.7537228478247493,0.7263079549223811
77,0.51218873,0.7544920312596148,0.7263099926748162
78,0.5124194,0.7544612639222201,0.7261816843496128
79,0.51207525,0.7543381945726417,0.7264107608733592
80,0.5119326,0.7539843701926036,0.7264185596639288
81,0.5119397,0.7545843332717986,0.7258276017077341
82,0.5116151,0.7539228355178142,0.7260579006391912
83,0.5112477,0.7537228478247493,0.7257917777274243
84,0.5113761,0.7536305458125654,0.726201171576025
85,0.51123416,0.7535690111377762,0.7257549190271282
86,0.5112728,0.7545074149283121,0.7262898113694496
87,0.5107924,0.7552304473570857,0.7259730743190738
88,0.5111306,0.753907451849117,0.7265033896403006
89,0.51066536,0.7546612516152852,0.7266015277732008
90,0.5108049,0.7543997292474309,0.725789693662434
91,0.5111493,0.7541535905482739,0.7262398730285232
92,0.51060414,0.7547535536274691,0.7252080689048923
93,0.51061887,0.7537536151621439,0.7254069788925899
94,0.5105856,0.7541689742169713,0.7256160563143123
95,0.5102666,0.7550304596640207,0.7259174882838986
96,0.5101608,0.7541382068795767,0.72678138501938
97,0.5101249,0.7543689619100363,0.7257925754002525
98,0.5098828,0.7541228232108793,0.7256199246314349
99,0.51041776,0.7547074026213771,0.7261648600951328
