epoch,loss,accuracy,auc
0,0.6144274,0.716009532715919,0.7193635868745167
1,0.5525305,0.738151980451899,0.7633644822804329
2,0.53077865,0.7500075417056321,0.7783496625899635
3,0.5200406,0.755950405743763,0.7866374270469423
4,0.5137057,0.7598419258499503,0.7920468885593023
5,0.5095707,0.7605357627681076,0.7948432841851747
6,0.50656915,0.7615312679115509,0.797067309481623
7,0.50396067,0.7617424356692509,0.7996541856936723
8,0.5008682,0.7622552716522368,0.7999763029463949
9,0.49962112,0.7622854384747655,0.801787231338868
10,0.4978876,0.7630697758605086,0.8019708759356208
11,0.49642384,0.7638239464237232,0.8028400558476239
12,0.4948088,0.7624362725874083,0.8031430293686843
13,0.49405506,0.7639144468913089,0.803861604524452
14,0.4927832,0.7641557814715376,0.8040811347879366
15,0.49118325,0.7638842800687804,0.8051509192099405
16,0.49008968,0.7639144468913089,0.8044335954103806
17,0.48920596,0.7633412772632658,0.8048908167488942
18,0.4879204,0.764638450631995,0.8051986180829368
19,0.48714054,0.7635222781984373,0.8054683539684663
20,0.48655376,0.7647289510995807,0.8051357192686492
21,0.48530093,0.7640954478264804,0.8054940249355733
22,0.4846145,0.7638842800687804,0.8057832194101333
23,0.4839462,0.7645781169869378,0.806074395871461
24,0.48327228,0.7643367824067091,0.8068400119290576
25,0.48203114,0.7634317777308516,0.80567205053929
26,0.48091462,0.7642764487616519,0.8065399952416171
27,0.4806217,0.7646987842770521,0.8057472207176795
28,0.4802065,0.7646082838094663,0.80680003109822
29,0.47909442,0.7629189417478657,0.8056833248550587
30,0.4785085,0.7629189417478657,0.8056409745206923
31,0.47808713,0.7639446137138375,0.8054945658443857
32,0.47729293,0.765000452502338,0.805804383476576
33,0.47684878,0.765211620260038,0.8059043910573727
34,0.47624186,0.7655434553078524,0.8058726066096957
35,0.47551158,0.7643971160517663,0.8053990147063419
36,0.47436208,0.7638842800687804,0.8054190707170457
37,0.47503927,0.7642462819391234,0.805185729113997
38,0.47362003,0.7652719539050952,0.805125328975492
39,0.47322413,0.7636731123110803,0.8047177400571474
40,0.4719242,0.7653021207276237,0.8049933795183344
41,0.4718935,0.7635222781984373,0.8043893256570569
42,0.4714347,0.7638842800687804,0.8041830456411591
43,0.47058,0.7640351141814232,0.8047994334343487
44,0.47038,0.7647591179221093,0.8041069147441327
45,0.46980956,0.7636429454885517,0.803751045185181
46,0.46942168,0.764125614649009,0.8031321607345252
47,0.4691084,0.7645479501644091,0.8034102746516971
48,0.46848395,0.7636127786660231,0.8035084354729292
49,0.46725845,0.7633111104407373,0.8025721828681909
50,0.46672687,0.7638541132462517,0.8033675307456201
51,0.46713638,0.7631904431506229,0.8028719533210227
52,0.46706602,0.7633412772632658,0.8034517490367181
53,0.4658821,0.7625871067000513,0.8038159118580209
54,0.4642601,0.7621647711846511,0.803034403576586
55,0.4637541,0.7628284412802799,0.8023690150962806
56,0.46429062,0.7630999426830372,0.8023549030275634
57,0.46375686,0.7634619445533802,0.8023216391539184
58,0.46237564,0.7633111104407373,0.8024888021784256
59,0.46257037,0.762677607167637,0.8021683217803554
60,0.46160027,0.7631602763280944,0.8013251498943088
61,0.46208084,0.7624966062324655,0.8012010093035509
62,0.46099013,0.7629491085703943,0.80139993659257
63,0.46037027,0.7638541132462517,0.8017826699436591
64,0.46061662,0.7616821020241938,0.8006278578856553
65,0.45954245,0.762466439409937,0.8009588537125034
66,0.45973456,0.7623457721198226,0.8006207574483346
67,0.45895445,0.7608675978159221,0.8003596094993598
68,0.4579716,0.7630396090379801,0.8000310598720661
69,0.45838478,0.7604452623005219,0.7994040335327941
70,0.45738906,0.7612597665087937,0.7999931780903513
71,0.45756882,0.7609580982835078,0.7990993464610556
72,0.45612288,0.7616217683791366,0.7982181938957875
73,0.45639956,0.7612597665087937,0.7994248585220709
74,0.45531815,0.7611089323961507,0.7992013481385187
75,0.4552453,0.7607167637032791,0.7994080055795956
76,0.45490703,0.7593290898669643,0.7982878540702298
77,0.45517465,0.7611089323961507,0.7977804351829374
78,0.45377353,0.7599022594950073,0.7977070269948213
79,0.45430812,0.7605055959455791,0.7974739679560776
80,0.4532695,0.760294428187879,0.7978646211809719
81,0.45322236,0.7593894235120214,0.797281309557996
82,0.45244658,0.7599927599625932,0.7980031705329671
83,0.4515249,0.7597514253823645,0.798312594593447
84,0.45180634,0.7586654197713355,0.7981261082071125
85,0.45107776,0.7595402576246644,0.7974921590423686
86,0.45086673,0.7596609249147788,0.7971876071978332
87,0.45060214,0.7580922501432924,0.7966971744619027
88,0.4498228,0.7573380795800778,0.7956779387757426
89,0.44916436,0.7581224169658209,0.7966678866716921
90,0.44904315,0.7591782557543214,0.7964069385360473
91,0.44924042,0.7582129174334067,0.7955773458831714
92,0.4488912,0.7595402576246644,0.7956661437343263
93,0.44804555,0.7580922501432924,0.7960421702198053
94,0.44813526,0.757036411354792,0.7946521193412764
95,0.44703296,0.7591480889317929,0.7951842706785202
96,0.44746906,0.757398413225135,0.7950250678941475
97,0.44678771,0.7583939183685783,0.7949801542978716
98,0.4465561,0.7576397478053637,0.7947354455364971
99,0.44527718,0.7571269118223778,0.7954054256867584
